     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d        Nb_s        Nb_p        Nb_d
   -62.11411     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.09111     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.06811     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.04511     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.02211     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.99911     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.97511     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.95211     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.92911     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.90611     0.00000     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.88311     0.00000     0.00000     0.00005     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.86011     0.00000     0.00000     0.00012     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.83611     0.00000     0.00000     0.00027     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.81311     0.00000     0.00000     0.00058     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.79011     0.00000     0.00000     0.00121     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.76711     0.00000     0.00000     0.00249     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.74411     0.00000     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.72011     0.00000     0.00000     0.00977     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.69711     0.00000     0.00000     0.01866     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.67411     0.00000     0.00000     0.03478     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.65111     0.00000     0.00000     0.06331     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.62811     0.00000     0.00000     0.11256     0.00001     0.00000     0.00000     0.00000     0.00000
   -61.60511     0.00000     0.00000     0.19551     0.00001     0.00001     0.00000     0.00000     0.00000
   -61.58111     0.00000     0.00000     0.33178     0.00002     0.00002     0.00000     0.00000     0.00000
   -61.55811     0.00000     0.00000     0.55021     0.00004     0.00003     0.00001     0.00000     0.00000
   -61.53511     0.00000     0.00000     0.89184     0.00006     0.00005     0.00001     0.00000     0.00000
   -61.51211     0.00000     0.00000     1.41324     0.00010     0.00008     0.00002     0.00000     0.00000
   -61.48911     0.00000     0.00000     2.18985     0.00016     0.00013     0.00002     0.00000     0.00000
   -61.46611     0.00000     0.00000     3.31851     0.00024     0.00020     0.00003     0.00000     0.00000
   -61.44211     0.00000     0.00000     4.91958     0.00036     0.00031     0.00005     0.00001     0.00000
   -61.41911     0.00001     0.00001     7.13690     0.00052     0.00048     0.00007     0.00001     0.00000
   -61.39611     0.00001     0.00001    10.13409     0.00074     0.00071     0.00010     0.00001     0.00000
   -61.37311     0.00001     0.00001    14.08875     0.00103     0.00103     0.00013     0.00002     0.00001
   -61.35011     0.00001     0.00001    19.18280     0.00140     0.00147     0.00017     0.00003     0.00001
   -61.32611     0.00002     0.00002    25.58948     0.00186     0.00204     0.00023     0.00003     0.00001
   -61.30311     0.00002     0.00002    33.45784     0.00241     0.00278     0.00029     0.00004     0.00001
   -61.28011     0.00003     0.00003    42.89194     0.00308     0.00371     0.00036     0.00006     0.00002
   -61.25711     0.00004     0.00004    53.93793     0.00384     0.00484     0.00043     0.00007     0.00002
   -61.23411     0.00005     0.00005    66.57060     0.00471     0.00619     0.00052     0.00009     0.00003
   -61.21111     0.00005     0.00006    80.67128     0.00565     0.00777     0.00061     0.00011     0.00004
   -61.18711     0.00006     0.00007    96.03503     0.00666     0.00955     0.00071     0.00013     0.00004
   -61.16411     0.00007     0.00008   112.37280     0.00771     0.01151     0.00080     0.00015     0.00005
   -61.14111     0.00008     0.00009   129.30760     0.00877     0.01362     0.00090     0.00017     0.00006
   -61.11811     0.00009     0.00010   146.40100     0.00981     0.01582     0.00099     0.00019     0.00007
   -61.09511     0.00010     0.00010   163.17680     0.01079     0.01803     0.00107     0.00021     0.00008
