     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d        Nb_s        Nb_p        Nb_d
   -62.23774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.21474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.19174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.16874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.14474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.12174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.09874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.07574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.05174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.02874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.00574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.98274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.95874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.93574     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.91274     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.88974     0.00000     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.86574     0.00000     0.00000     0.00008     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.84274     0.00000     0.00000     0.00017     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.81974     0.00000     0.00000     0.00038     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.79674     0.00000     0.00000     0.00081     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.77274     0.00000     0.00000     0.00168     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.74974     0.00000     0.00000     0.00343     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.72674     0.00000     0.00000     0.00681     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.70374     0.00000     0.00000     0.01321     0.00000     0.00000     0.00000     0.00000     0.00000
