     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d
   -58.99017     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.96717     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.94417     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.92117     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.89817     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.87417     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.85117     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.82817     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.80517     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.78217     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.75917     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.73517     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.71217     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.68917     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.66617     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.64317     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.61917     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.59617     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.57317     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.55017     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.52717     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.50417     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.48017     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.45717     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.43417     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.41117     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.38817     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.36417     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.34117     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.31817     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.29517     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.27217     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.24917     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.22517     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.20217     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.17917     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.15617     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.13317     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.10917     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.08617     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.06317     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.04017     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.01717     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.99417     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.97017     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.94717     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.92417     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.90117     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.87817     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.85417     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.83117     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.80817     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.78517     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.76217     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.73917     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.71517     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.69217     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.66917     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.64617     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.62317     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.59917     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.57617     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.55317     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.53017     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.50717     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.48417     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.46017     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.43717     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.41417     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.39117     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.36817     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.34417     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.32117     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.29817     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.27517     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.25217     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.22917     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.20517     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.18217     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.15917     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.13617     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.11317     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.08917     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.06617     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.04317     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.02017     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.99717     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.97417     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.95017     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.92717     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.90417     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.88117     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.85817     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.83417     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.81117     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.78817     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.76517     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.74217     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.71917     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.69517     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.67217     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.64917     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.62617     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.60317     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.57917     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.55617     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.53317     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.51017     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.48717     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.46417     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.44017     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.41717     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.39417     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.37117     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.34817     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.32417     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.30117     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.27817     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.25517     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.23217     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.20917     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.18517     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.16217     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.13917     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.11617     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.09317     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.06917     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.04617     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.02317     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.00017     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.97717     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.95417     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.93017     0.00000     0.00000     0.00000     0.00000     0.00000
