     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
   -32.52286     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.29086     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.05786     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.82486     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.59286     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.35986     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.12786     0.00000     0.00000     0.00000     0.00000     0.00000
   -30.89486     0.00000     0.00000     0.00000     0.00000     0.00000
   -30.66186     0.00000     0.00000     0.00000     0.00000     0.00000
   -30.42986     0.00000     0.00000     0.00000     0.00000     0.00000
   -30.19686     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.96486     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.73186     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.49886     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.26686     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.03386     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.80186     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.56886     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.33586     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.10386     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.87086     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.63886     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.40586     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.17286     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.94086     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.70786     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.47586     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.24286     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.01086     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.77786     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.54486     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.31286     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.07986     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.84786     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.61486     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.38186     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.14986     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.91686     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.68486     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.45186     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.21886     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.98686     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.75386     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.52186     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.28886     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.05586     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.82386     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.59086     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.35886     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.12586     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.89286     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66086     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42786     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.19586     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.96286     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.72986     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.49786     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.26486     0.08394     0.16280     0.24600     6.48700     0.04541
   -19.03286     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.79986     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.56686     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.33486     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.10186     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.86986     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.63686     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.40386     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.17186     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.93886     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.70686     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.47386     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.24086     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.00886     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.77586     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.54386     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.31086     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.07786     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.84586     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.61286     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.38086     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.14786     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.91486     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.68286     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.44986     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.21786     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.98486     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.75186     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.51986     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.28686     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.05486     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.82186     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.58886     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.35686     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.12386     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.89186     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.65886     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.42586     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.19386     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.96086     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.72886     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.49586     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.26286     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.03086     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.79786     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.56586     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.33286     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.09986     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.86786     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.63486     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.40286     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.16986     0.00000     0.00000     0.00000     0.00000     0.00000
    -6.93686     0.00000     0.00000     0.00000     0.00000     0.00000
    -6.70486     0.56769     0.01368     0.00338     0.00054     0.00323
    -6.47186     1.29027     0.05036     0.03475     0.00092     0.05106
    -6.23986     1.61731     0.08154     0.10773     0.00066     0.20297
    -6.00686     2.48471     0.21035     0.91444     0.00639     2.10765
    -5.77386     2.51528     0.43528     3.74814     0.09211     7.59900
    -5.54186     3.93071     0.43102     1.50907     0.03719     1.00952
    -5.30886     4.27510     0.47687     1.52691     0.00190     0.18215
    -5.07686     3.55592     0.45364     3.40843     0.00032     0.04819
    -4.84386    13.50807     1.96986    25.42375     0.00367     0.16940
    -4.61086     9.12464     1.45269    31.67910     0.00413     0.14770
    -4.37886    17.41460     3.29069    58.06943     0.00458     0.17848
    -4.14586    10.68454     2.67422    49.58185     0.00274     0.17859
