     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p        Nb_s        Nb_p        Nb_d
   -61.10684   394.38280     0.02300     0.04284     0.00012     0.00014     0.00041     0.00008     0.00003
   -61.08384   417.02760     0.02378     0.04554     0.00014     0.00016     0.00044     0.00009     0.00003
   -61.06084   433.88100     0.02421     0.04749     0.00016     0.00018     0.00048     0.00010     0.00004
   -61.03784   444.31860     0.02427     0.04859     0.00017     0.00020     0.00051     0.00011     0.00004
   -61.01484   448.01410     0.02399     0.04882     0.00018     0.00021     0.00054     0.00012     0.00005
   -60.99084   444.94400     0.02339     0.04820     0.00019     0.00022     0.00057     0.00013     0.00005
   -60.96784   435.42100     0.02250     0.04678     0.00019     0.00022     0.00059     0.00013     0.00006
   -60.94484   420.01800     0.02137     0.04467     0.00019     0.00022     0.00062     0.00014     0.00006
   -60.92184   399.49200     0.02005     0.04200     0.00018     0.00021     0.00064     0.00015     0.00006
   -60.89884   374.75900     0.01859     0.03890     0.00017     0.00020     0.00066     0.00015     0.00007
   -60.87484   346.82000     0.01703     0.03552     0.00016     0.00019     0.00068     0.00015     0.00007
   -60.85184   316.66700     0.01542     0.03199     0.00015     0.00017     0.00069     0.00015     0.00007
   -60.82884   285.28500     0.01380     0.02843     0.00013     0.00015     0.00069     0.00015     0.00007
   -60.80584   253.58050     0.01221     0.02494     0.00011     0.00013     0.00069     0.00015     0.00007
   -60.78284   222.34770     0.01067     0.02160     0.00010     0.00011     0.00068     0.00015     0.00007
   -60.75884   192.28730     0.00921     0.01847     0.00008     0.00010     0.00066     0.00014     0.00006
   -60.73584   163.95990     0.00785     0.01559     0.00007     0.00008     0.00063     0.00013     0.00006
   -60.71284   137.79760     0.00660     0.01298     0.00005     0.00006     0.00060     0.00012     0.00005
   -60.68984   114.09700     0.00547     0.01066     0.00004     0.00005     0.00055     0.00011     0.00005
   -60.66684    93.03080     0.00447     0.00864     0.00003     0.00004     0.00050     0.00010     0.00004
   -60.64284    74.66257     0.00359     0.00689     0.00002     0.00003     0.00044     0.00009     0.00004
   -60.61984    58.94513     0.00285     0.00542     0.00002     0.00002     0.00039     0.00007     0.00003
   -60.59684    45.75687     0.00222     0.00419     0.00001     0.00002     0.00033     0.00006     0.00003
   -60.57384    34.90243     0.00170     0.00319     0.00001     0.00001     0.00027     0.00005     0.00002
   -60.55084    26.14651     0.00128     0.00238     0.00001     0.00001     0.00022     0.00004     0.00002
   -60.52684    19.22565     0.00094     0.00175     0.00000     0.00001     0.00017     0.00003     0.00001
   -60.50384    13.87079     0.00068     0.00126     0.00000     0.00000     0.00014     0.00002     0.00001
   -60.48084     9.81177     0.00048     0.00089     0.00000     0.00000     0.00010     0.00002     0.00001
   -60.45784     6.80223     0.00034     0.00062     0.00000     0.00000     0.00008     0.00001     0.00001
   -60.43484     4.61909     0.00023     0.00042     0.00000     0.00000     0.00005     0.00001     0.00000
   -60.41084     3.07112     0.00015     0.00028     0.00000     0.00000     0.00004     0.00001     0.00000
   -60.38784     1.99837     0.00010     0.00018     0.00000     0.00000     0.00003     0.00000     0.00000
   -60.36484     1.27212     0.00006     0.00011     0.00000     0.00000     0.00002     0.00000     0.00000
   -60.34184     0.79182     0.00004     0.00007     0.00000     0.00000     0.00001     0.00000     0.00000
   -60.31884     0.48176     0.00002     0.00004     0.00000     0.00000     0.00001     0.00000     0.00000
   -60.29484     0.28645     0.00001     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.27184     0.16637     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.24884     0.09437     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.22584     0.05226     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.20284     0.02825     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.17884     0.01490     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.15584     0.00767     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.13284     0.00385     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.10984     0.00189     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.08684     0.00090     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.06284     0.00042     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.03984     0.00019     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.01684     0.00008     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.99384     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.97084     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.94684     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.92384     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.90084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.87784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.85484     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.83084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.80784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.78484     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.76184     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.73884     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.71484     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.69184     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.66884     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.64584     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.62284     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.59884     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.57584     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.55284     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.52984     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.50684     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.48284     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.45984     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.43684     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.41384     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.39084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
