Tue Jun 02 09:08:45 2020

Number of Points = 3029
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-17.330180	-4.736429	0.785754	0.003307	0.452124
-17.180942	-4.825353	0.790758	0.003280	0.451990
-17.680726	-4.699430	0.795763	0.003370	0.451805
-17.622459	-4.748226	0.800768	0.003360	0.451701
-17.903881	-4.701892	0.805773	0.003411	0.451505
-17.707561	-4.805369	0.810778	0.003375	0.451379
-18.047402	-4.737441	0.815782	0.003437	0.451187
-18.147083	-4.745246	0.820787	0.003455	0.451028
-18.025279	-4.829536	0.825792	0.003433	0.450875
-18.168022	-4.834293	0.830797	0.003459	0.450672
-18.420438	-4.776337	0.835802	0.003505	0.450557
-18.670203	-4.754465	0.840806	0.003550	0.450312
-18.648183	-4.777955	0.845811	0.003546	0.450253
-19.010638	-4.730343	0.850816	0.003611	0.449957
-18.888567	-4.779154	0.855821	0.003589	0.449935
-19.307934	-4.713912	0.860826	0.003665	0.449629
-19.154458	-4.767667	0.865830	0.003637	0.449630
-19.349074	-4.779966	0.870835	0.003673	0.449330
-19.473974	-4.742027	0.875840	0.003695	0.449307
-19.799331	-4.693539	0.880845	0.003754	0.449061
-19.673932	-4.738741	0.885850	0.003731	0.449057
-19.829005	-4.775175	0.890854	0.003760	0.448719
-19.854485	-4.778678	0.895859	0.003764	0.448673
-20.322412	-4.685408	0.900864	0.003849	0.448406
-20.147965	-4.756847	0.905869	0.003817	0.448369
-20.475237	-4.719050	0.910874	0.003877	0.448081
-20.347923	-4.781761	0.915878	0.003854	0.448014
-20.870940	-4.656759	0.920883	0.003948	0.447793
-20.560990	-4.791107	0.925888	0.003892	0.447700
-20.941726	-4.720063	0.930893	0.003961	0.447464
-20.974245	-4.737344	0.935898	0.003967	0.447357
-21.359413	-4.655300	0.940902	0.004037	0.447157
-21.226590	-4.724291	0.945907	0.004013	0.447074
-21.409672	-4.724333	0.950912	0.004046	0.446833
-21.520063	-4.708293	0.955917	0.004066	0.446747
-22.028675	-4.586856	0.960922	0.004158	0.446531
-21.652485	-4.734204	0.965926	0.004090	0.446476
-21.935012	-4.704862	0.970931	0.004141	0.446214
