     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
   -62.66570     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.64270     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.61870     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.59570     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.57270     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.54970     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.52670     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.50270     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.47970     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.45670     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.43370     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.41070     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.38770     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.36370     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.34070     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.31770     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.29470     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.27170     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.24770     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.22470     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.20170     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.17870     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.15570     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.13270     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.10870     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.08570     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.06270     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.03970     0.00001     0.00000     0.00000     0.00000     0.00000
   -62.01670     0.00002     0.00000     0.00000     0.00000     0.00000
   -61.99270     0.00004     0.00000     0.00000     0.00000     0.00000
   -61.96970     0.00009     0.00000     0.00000     0.00000     0.00000
   -61.94670     0.00020     0.00000     0.00000     0.00000     0.00000
   -61.92370     0.00044     0.00000     0.00000     0.00000     0.00000
   -61.90070     0.00095     0.00000     0.00000     0.00000     0.00000
   -61.87670     0.00200     0.00000     0.00000     0.00000     0.00000
   -61.85370     0.00412     0.00000     0.00000     0.00000     0.00000
   -61.83070     0.00826     0.00000     0.00000     0.00000     0.00000
   -61.80770     0.01616     0.00000     0.00000     0.00000     0.00000
   -61.78470     0.03086     0.00000     0.00000     0.00000     0.00000
   -61.76170     0.05753     0.00000     0.00000     0.00000     0.00000
   -61.73770     0.10475     0.00001     0.00000     0.00000     0.00000
   -61.71470     0.18625     0.00001     0.00001     0.00000     0.00000
   -61.69170     0.32353     0.00002     0.00001     0.00000     0.00000
   -61.66870     0.54918     0.00004     0.00002     0.00001     0.00000
   -61.64570     0.91119     0.00006     0.00004     0.00001     0.00001
   -61.62170     1.47825     0.00010     0.00007     0.00001     0.00001
   -61.59870     2.34552     0.00017     0.00011     0.00002     0.00002
   -61.57570     3.64152     0.00026     0.00018     0.00003     0.00002
   -61.55270     5.53327     0.00040     0.00029     0.00005     0.00004
   -61.52970     8.23270     0.00059     0.00046     0.00007     0.00005
   -61.50670    11.99755     0.00087     0.00071     0.00009     0.00008
   -61.48270    17.13162     0.00124     0.00107     0.00013     0.00011
   -61.45970    23.97959     0.00174     0.00158     0.00017     0.00014
   -61.43670    32.91375     0.00238     0.00229     0.00022     0.00019
   -61.41370    44.31277     0.00319     0.00325     0.00028     0.00025
   -61.39070    58.54254     0.00419     0.00450     0.00034     0.00031
   -61.36670    75.91636     0.00539     0.00612     0.00041     0.00039
   -61.34370    96.64340     0.00679     0.00815     0.00048     0.00047
   -61.32070   120.83090     0.00838     0.01061     0.00055     0.00055
   -61.29770   148.38360     0.01015     0.01354     0.00061     0.00063
   -61.27470   179.01570     0.01204     0.01692     0.00067     0.00071
   -61.25070   212.21730     0.01402     0.02070     0.00072     0.00079
   -61.22770   247.22550     0.01603     0.02479     0.00075     0.00085
   -61.20470   283.08820     0.01798     0.02908     0.00077     0.00090
   -61.18170   318.65690     0.01981     0.03341     0.00078     0.00093
   -61.15870   352.67440     0.02145     0.03761     0.00077     0.00095
   -61.13570   383.84900     0.02283     0.04148     0.00074     0.00094
   -61.11170   410.94100     0.02391     0.04484     0.00071     0.00092
   -61.08870   432.86900     0.02464     0.04753     0.00066     0.00088
   -61.06570   448.77200     0.02500     0.04942     0.00061     0.00083
   -61.04270   458.03700     0.02500     0.05043     0.00055     0.00077
   -61.01970   460.39400     0.02465     0.05054     0.00049     0.00070
   -60.99570   455.89300     0.02398     0.04976     0.00043     0.00062
   -60.97270   444.86900     0.02302     0.04816     0.00037     0.00055
   -60.94970   427.89200     0.02181     0.04585     0.00031     0.00047
   -60.92670   405.74300     0.02042     0.04296     0.00026     0.00040
   -60.90370   379.32740     0.01887     0.03963     0.00022     0.00034
   -60.88070   349.62260     0.01723     0.03601     0.00018     0.00028
   -60.85670   317.66810     0.01553     0.03224     0.00014     0.00023
   -60.83370   284.44320     0.01381     0.02843     0.00011     0.00018
   -60.81070   250.90260     0.01212     0.02470     0.00009     0.00015
   -60.78770   217.92760     0.01048     0.02114     0.00007     0.00011
   -60.76470   186.28300     0.00893     0.01781     0.00005     0.00009
   -60.74070   156.60360     0.00748     0.01477     0.00004     0.00007
   -60.71770   129.41125     0.00617     0.01204     0.00003     0.00005
   -60.69470   105.03966     0.00500     0.00965     0.00002     0.00004
   -60.67170    83.69181     0.00398     0.00759     0.00002     0.00003
   -60.64870    65.42217     0.00311     0.00587     0.00001     0.00002
   -60.62470    50.13698     0.00238     0.00445     0.00001     0.00002
   -60.60170    37.65749     0.00179     0.00330     0.00001     0.00001
   -60.57870    27.69997     0.00131     0.00241     0.00000     0.00001
   -60.55570    19.94773     0.00094     0.00171     0.00000     0.00001
   -60.53270    14.05800     0.00066     0.00120     0.00000     0.00000
   -60.50970     9.69139     0.00046     0.00082     0.00000     0.00000
   -60.48570     6.53321     0.00031     0.00055     0.00000     0.00000
   -60.46270     4.30576     0.00020     0.00036     0.00000     0.00000
   -60.43970     2.77348     0.00013     0.00023     0.00000     0.00000
   -60.41670     1.74540     0.00008     0.00014     0.00000     0.00000
   -60.39370     1.07309     0.00005     0.00009     0.00000     0.00000
   -60.36970     0.64436     0.00003     0.00005     0.00000     0.00000
   -60.34670     0.37785     0.00002     0.00003     0.00000     0.00000
   -60.32370     0.21631     0.00001     0.00002     0.00000     0.00000
   -60.30070     0.12089     0.00001     0.00001     0.00000     0.00000
   -60.27770     0.06594     0.00000     0.00001     0.00000     0.00000
   -60.25370     0.03511     0.00000     0.00000     0.00000     0.00000
